Date,Corrected Potable (L)
2022-01-14,2420.0
2022-01-21,2418.0
2022-01-28,2416.0
2022-02-04,2392.0
2022-02-11,2290.0
2022-02-18,2268.0
2022-02-25,2420.0
2022-03-04,2418.0
2022-03-11,2392.0
2022-03-18,2368.0
2022-03-25,2298.0
2022-04-01,2220.0
2022-04-08,2196.0
2022-04-15,2120.0
2022-04-22,2066.0
2022-04-29,2042.0
2022-05-06,1974.0
2022-05-13,1938.0
2022-05-20,1870.0
2022-05-27,1788.0
2022-06-03,1764.0
2022-06-10,1753.7
2022-06-17,2212.0
2022-06-24,2122.0
2022-07-01,2010.0
2022-07-08,2008.0
2022-07-15,1928.0
2022-07-22,1892.0
2022-07-29,1892.0
2022-08-05,1862.0
2022-08-12,1844.0
2022-08-19,1841.0
2022-08-26,1838.0
2022-09-02,1812.0
2022-09-09,1788.0
2022-09-16,1734.0
2022-09-23,1692.0
2022-09-30,1666.0
2022-10-07,1620.0
2022-10-14,1579.0
2022-10-21,1574.0
2022-10-28,1559.0
2022-11-04,1667.0
2022-11-11,1780.0
2022-11-18,1591.0
2022-11-25,1591.0
2022-12-02,1518.0
2022-12-09,1492.0
2022-12-16,1336.0
2022-12-23,1313.0
2022-12-30,1286.0
2023-01-06,1261.0
2023-01-13,1256.0
2023-01-20,1208.0
2023-01-27,1203.0
2023-02-03,1181.0
2023-02-10,1195.0
2023-02-17,1195.0
2023-02-24,1279.0
2023-03-03,1255.0
2023-03-10,1255.0
2023-03-17,1138.0
2023-03-24,1113.0
2023-03-31,1089.0
2023-04-07,1065.0
2023-04-14,1062.0
2023-04-21,1057.0
2023-04-28,958.0
2023-05-05,956.0
2023-05-12,929.0
2023-05-19,905.0
2023-05-26,905.0
2023-06-02,748.0
2023-06-09,693.0
2023-06-16,611.0
2023-06-23,565.0
2023-06-30,539.0
2023-07-07,439.0
2023-07-14,415.0
2023-07-21,357.0
2023-07-28,291.0
2023-08-04,194.0
2023-08-11,192.0
2023-08-18,167.0
2023-08-25,141.0
2023-09-01,196.0
2023-09-06,826.0
